Emotional_Score,Social_Media_Time_Score,Platform_Score,Usage_Pattern_Score,Impact_Score,Additional_Feature_Score,TFIDF_Score,Mental_Health_Score
84,13,20,18,27,38,0,200
56,13,10,2,0,35,0,116
97,23,19,18,61,34,0,252
114,13,19,11,54,63,0,274
87,13,19,18,25,10,0,172
79,10,19,18,25,30,0,181
88,13,24,18,49,35,0,227
117,10,23,9,19,34,0,212
61,23,19,23,33,85,0,244
66,13,19,18,29,46,0,191
72,13,23,18,49,30,0,205
83,23,29,18,35,68,0,256
99,13,19,2,52,35,0,220
120,10,19,11,25,10,0,195
77,13,19,16,41,52,0,218
92,23,36,16,59,19,0,245
63,13,20,18,35,29,0,178
98,10,19,11,33,63,0,234
74,18,19,18,59,4,0,192
78,23,57,18,14,30,0,220
92,2,19,11,35,83,0,242
102,13,29,11,27,75,0,257
78,13,19,18,41,36,0,205
90,23,26,18,55,11,0,223
69,23,26,18,59,19,0,214
78,8,4,2,35,35,0,162
50,8,19,18,41,40,0,176
45,8,15,16,2,29,0,115
63,12,23,11,31,36,0,176
54,13,14,11,45,38,0,175
61,21,19,18,26,34,0,179
82,13,4,11,49,54,0,213
106,13,36,11,45,58,0,269
88,3,22,18,55,31,0,217
94,18,26,18,41,15,0,212
65,13,29,18,27,34,0,186
109,10,31,18,7,49,0,224
71,13,13,2,16,10,0,125
97,10,25,18,20,35,0,205
120,20,36,9,52,71,0,308
91,13,19,18,27,39,0,207
96,18,23,11,41,14,0,203
65,3,15,18,49,40,0,190
55,23,10,23,59,28,0,198
86,11,19,11,69,34,0,230
45,10,24,11,22,10,0,122
99,8,4,2,24,33,0,170
78,13,17,9,52,36,0,205
87,18,19,11,49,46,0,230
95,13,27,2,44,47,0,228
117,18,11,11,53,34,0,244
73,23,15,18,35,38,0,202
71,13,29,18,42,32,0,205
42,23,38,23,35,61,0,222
87,23,24,23,42,14,0,213
100,10,23,11,53,54,0,251
78,12,23,11,53,74,0,251
90,3,10,9,27,27,0,166
94,13,13,11,47,37,0,215
84,23,19,18,27,61,0,232
82,13,26,18,51,68,0,258
82,10,15,16,44,46,0,213
87,3,19,11,20,45,0,185
108,3,19,9,42,24,0,205
78,5,24,18,35,63,0,223
48,23,47,18,35,25,0,196
97,23,34,16,45,25,0,240
93,20,36,11,33,49,0,242
106,10,19,18,59,36,0,248
44,10,24,18,36,26,0,158
71,10,17,14,59,34,0,205
89,15,9,11,39,47,0,210
65,3,32,11,69,40,0,220
81,10,17,18,51,54,0,231
92,13,19,9,54,60,0,247
82,10,14,9,0,49,0,164
40,3,31,18,54,60,0,206
93,13,41,18,35,41,0,241
81,23,19,9,31,19,0,182
65,13,26,18,52,16,0,190
30,10,20,11,46,34,0,151
87,10,19,11,47,19,0,193
77,10,19,18,41,55,0,220
53,18,24,18,28,30,0,171
97,13,18,11,61,69,0,269
120,11,23,18,25,21,0,218
78,10,33,16,36,34,0,207
67,12,29,18,42,10,0,178
72,3,19,9,31,15,0,149
100,23,29,18,53,16,0,239
79,23,20,23,35,60,0,240
84,10,15,7,61,38,0,215
60,3,10,16,46,68,0,203
72,10,31,11,54,58,0,236
103,3,26,18,60,46,0,256
84,18,19,18,52,14,0,205
93,13,41,16,55,16,0,234
114,10,4,2,44,25,0,199
67,8,4,9,41,39,0,168
69,2,6,7,51,30,0,165
21,11,25,16,33,35,0,141
52,13,31,9,47,54,0,206
87,13,29,11,59,54,0,253
82,13,10,11,59,14,0,189
51,3,10,23,42,55,0,184
97,3,23,11,35,40,0,209
18,23,24,11,35,84,0,195
74,13,10,18,24,33,0,172
57,13,19,11,51,39,0,190
80,10,20,18,42,46,0,216
89,23,36,18,61,60,0,287
89,10,23,7,37,73,0,239
120,2,25,2,59,29,0,237
77,13,13,11,37,30,0,181
75,13,23,11,39,16,0,177
62,23,23,18,33,46,0,205
42,23,33,23,53,70,0,244
92,23,13,18,30,34,0,210
92,23,19,18,35,40,0,227
48,10,15,0,30,64,0,167
68,5,19,11,39,29,0,171
44,2,9,2,61,51,0,169
64,13,23,11,22,63,0,196
82,23,19,9,41,51,0,225
96,10,23,11,47,58,0,245
82,10,19,11,22,5,0,149
65,23,38,18,35,65,0,244
72,13,9,9,28,15,0,146
